index,user_query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
24,editor_75,5.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,5.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0
25,editor_78,4.0,1.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0
26,editor_83,1.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,3.0
27,editor_9,3.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0
28,editor_96,1.0,3.0,1.0,3.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0
29,editor_98,2.0,1.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0
30,professor_124,4.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,5.0
31,professor_144,1.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0
32,professor_161,3.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,5.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
33,professor_164,2.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,5.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0
34,professor_166,2.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,5.0,2.0,5.0,5.0,1.0
35,professor_167,5.0,5.0,4.0,4.0,2.0,3.0,5.0,1.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,1.0,3.0
36,professor_17,3.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,1.0
37,professor_170,4.0,4.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,1.0,4.0,2.0,3.0,5.0
38,professor_180,1.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,2.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,5.0,4.0,3.0
39,professor_182,5.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,2.0,1.0,5.0,2.0,4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0
40,professor_193,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0
41,professor_194,5.0,2.0,4.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0
42,professor_195,2.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,5.0,5.0
43,professor_21,4.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,4.0
44,professor_29,5.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0
45,professor_34,3.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,4.0,1.0,2.0,5.0,3.0,3.0
46,professor_45,3.0,3.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0,4.0,2.0,5.0
47,professor_48,5.0,4.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,5.0,3.0,2.0
48,professor_55,5.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0
49,professor_59,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,2.0,5.0
50,professor_61,1.0,5.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0
51,professor_64,5.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0
52,professor_69,4.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0
53,professor_74,4.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0
54,professor_75,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,1.0,3.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,2.0,4.0
55,professor_78,2.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,2.0,5.0,3.0
56,professor_83,4.0,1.0,4.0,1.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,4.0
57,professor_9,5.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0
58,professor_96,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,5.0,5.0,5.0
59,professor_98,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0
60,student_124,3.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,1.0,4.0,3.0,2.0,5.0,3.0
